Manufacturer Part Number,Manufacturer,Digi-Key Part Number,Customer Reference,Reference Designator,Packaging,Part Status,Quantity,Unit Price,Extended Price,Quantity Available,Mfg Std Lead Time,Description,RoHS Status,Lead Free Status,REACH Status,US Tariff Status,Assembly status
CL21A475KLCLQNC,Samsung Electro-Mechanics,1276-6722-1-ND,,,Cut Tape (CT),Active,1,0.35,$0.35,1213767,Not Available,CAP CER 4.7UF 35V X5R 0805,RoHS Compliant,Lead free,REACH Unaffected,Tariff Applied,Got
219-4LPSTR,CTS Electrocomponents,CT3116CT-ND,,,Cut Tape (CT),Active,1,1.34,$1.34,10433,8 Weeks,SWITCH SLIDE DIP SPST 100MA 20V,RoHS Compliant,Lead free,Not Available,,Got
ERA-6AEB913V,Panasonic Electronic Components,P91KDACT-ND,,,Cut Tape (CT),Active,1,0.56,$0.56,15398,22 Weeks,RES SMD 91K OHM 0.1% 1/8W 0805,RoHS Compliant,Lead free,REACH Unaffected,,No??
RC0805FR-0717K4L,Yageo,311-17.4KCRCT-ND,,,Cut Tape (CT),Active,1,0.16,$0.16,388172,16 Weeks,RES SMD 17.4K OHM 1% 1/8W 0805,RoHS Compliant,Lead free,REACH Unaffected,Tariff Applied,No??
1935161,Phoenix Contact,277-1667-ND,,,Bulk,Active,2,0.63,$1.26,100614,15 Weeks,TERM BLK 2POS SIDE ENTRY 5MM PCB,RoHS Compliant,Lead free,Not Available,,Got
5-103669-3,TE Connectivity AMP Connectors,A33897-ND,,,Tube,Active,1,1.34,$1.34,3111,4 Weeks,CONN HEADER VERT 4POS 2.54MM,RoHS Compliant,Lead free,Not Available,,Nope
ERA-6AEB202V,Panasonic Electronic Components,P2.0KDACT-ND,,,Cut Tape (CT),Active,2,0.56,$1.12,145048,22 Weeks,RES SMD 2K OHM 0.1% 1/8W 0805,RoHS Compliant,Lead free,REACH Unaffected,,Nope
ERA-6AEB332V,Panasonic Electronic Components,P3.3KDACT-ND,,,Cut Tape (CT),Active,1,0.56,$0.56,139080,22 Weeks,RES SMD 3.3K OHM 0.1% 1/8W 0805,RoHS Compliant,Lead free,REACH Unaffected,,No??
74404032150,Wurth Electronics Inc.,732-5498-1-ND,,,Cut Tape (CT),Active,1,1.71,$1.71,4728,13 Weeks,FIXED IND 15UH 730MA 300 MOHM,RoHS Compliant,Lead free,REACH Unaffected,Tariff Eligible,No??
742792651,Wurth Electronics Inc.,732-1593-1-ND,,,Cut Tape (CT),Active,1,0.25,$0.25,300952,12 Weeks,FERRITE BEAD 600 OHM 0603 1LN,RoHS Compliant,Lead free,REACH Unaffected,,No??
CL21B333KBANNNC,Samsung Electro-Mechanics,1276-1796-1-ND,,,Cut Tape (CT),Active,1,0.16,$0.16,391390,Not Available,CAP CER 0.033UF 50V X7R 0805,RoHS Compliant,Lead free,REACH Unaffected,,Got
